loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,text_risk_prob,text_risk,annual_income_safe,loan_to_income_ratio,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category,loan_intent
L1210,53,Female,Professor,118000,30000,Education,805,1,Sponsoring international research travel for a promising doctoral candidate.,1,Neutral,0.4901383221149444,1,118000,0.2542372881355932,1,0,1,1,1,7,Medium,Business/Investment
L1211,47,Male,Pilot,170000,45000,Business,822,1,Acquisition of fractional ownership in a business jet for travel efficiency.,1,Neutral,0.500449001789093,1,170000,0.2647058823529412,1,0,1,1,1,7,Medium,Business/Investment
L1212,35,Female,Software Developer,110000,25000,Personal,770,1,Need funds for a major technology upgrade to my home office setup for increased productivity.,1,Neutral,0.5841025114059448,1,110000,0.2272727272727272,1,0,1,1,2,8,Medium,Personal/Lifestyle
L1213,23,Male,Delivery Driver,31000,5500,Medical,585,1,Covering the cost of a required physical examination for a better-paying delivery job.,0,Neutral,0.5129558444023132,1,31000,0.1774193548387097,1,3,0,1,1,14,High,Business/Investment
L1214,56,Female,Doctor,210000,65000,Home,845,1,Financing the construction of a substantial in-law suite on the property.,1,Neutral,0.4686883389949798,1,210000,0.3095238095238095,1,0,1,1,0,6,Medium,Business/Investment
L1215,30,Male,Graphic Designer,60000,13000,Business,685,2,Purchasing new rendering hardware to meet client demands.,1,Neutral,0.5097446441650391,1,60000,0.2166666666666666,1,2,1,1,1,13,High,Basic Needs/Survival
L1216,62,Female,Retired,57000,5000,Medical,765,2,Covering costs for long-term care insurance premium increase.,1,Neutral,0.5205284357070923,1,57000,0.087719298245614,1,0,0,1,1,5,Low,Personal/Lifestyle
L1217,38,Male,Accountant,89000,18000,Education,740,1,Paying for required continuing professional education credits.,1,Neutral,0.4978299736976623,1,89000,0.2022471910112359,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1218,26,Female,Retail Associate,37000,8000,Personal,610,0,I am struggling to keep up with student loan minimums and rent simultaneously. I don't know how to manage this financial hole.,0,Negative,0.6396138668060303,1,37000,0.2162162162162162,2,3,1,0,2,17,High,Basic Needs/Survival
L1219,49,Male,Engineer,140000,38000,Business,812,1,Investment in patented technology licensing fees.,1,Neutral,0.5347503423690796,1,140000,0.2714285714285714,1,0,1,1,1,7,Medium,Business/Investment
L1220,54,Female,Manager,110000,23000,Home,782,1,Financing pool installation for enhanced property value and recreation.,1,Neutral,0.4330841600894928,1,110000,0.209090909090909,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1221,31,Male,Plumber,65000,11000,Personal,670,2,Need funds to cover legal consultation regarding a property boundary dispute.,1,Neutral,0.5559076070785522,1,65000,0.1692307692307692,1,2,0,1,2,12,High,Basic Needs/Survival
L1222,42,Female,Teacher,67000,12000,Education,720,1,Purchasing specialized virtual reality equipment for science classes.,1,Neutral,0.5015245079994202,1,67000,0.1791044776119403,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1223,25,Male,Cashier,28000,5000,Medical,568,0,"I need this to cover an emergency root canal; the pain is unbearable, and I cannot work like this.",0,Negative,0.999114751815796,2,28000,0.1785714285714285,2,3,0,0,1,16,High,Basic Needs/Survival
L1224,57,Female,Scientist,165000,40000,Business,825,1,Acquiring a highly specialized mass spectrometer for advanced analysis.,1,Neutral,0.4643834233283996,1,165000,0.2424242424242424,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1225,33,Male,Truck Driver,70000,16000,Personal,648,3,My old trailer sustained axle damage on the road; need immediate repair funds to resume work.,0,Negative,0.6868095993995667,2,70000,0.2285714285714285,2,3,1,2,2,21,High,Basic Needs/Survival
L1226,46,Female,HR Specialist,85000,19000,Home,735,2,Financing a significant upgrade to the home's garage workshop.,1,Positive,0.5152156352996826,1,85000,0.2235294117647059,0,1,1,1,0,8,Medium,Personal/Lifestyle
L1227,20,Male,Student,19000,2000,Education,520,0,"I'm one course short of graduating, and the registration fee is due now. If I wait, I lose my slot.",0,Negative,0.5215746164321899,1,19000,0.1052631578947368,2,3,0,0,1,14,High,Personal/Lifestyle
L1228,50,Female,Doctor,190000,48000,Medical,835,1,Funding the purchase of an advanced dermatological laser system.,1,Neutral,0.50074303150177,1,190000,0.2526315789473684,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1229,39,Male,Real Estate Agent,92000,22000,Business,718,1,Capital for aggressive advertising campaign for high-value listings.,1,Neutral,0.6893245577812195,2,92000,0.2391304347826087,1,1,1,1,1,12,High,Business/Investment
L1230,64,Female,Retired,64000,8000,Personal,775,1,"Need funds to cover an unexpected, large utility bill from last winter.",1,Negative,0.8006433844566345,2,64000,0.125,2,0,0,1,2,9,Medium,Basic Needs/Survival
L1231,28,Male,Warehouse Worker,38000,8000,Education,600,1,Paying for forklift operator certification to secure a higher-paying job.,0,Neutral,0.4810068607330322,1,38000,0.2105263157894736,1,3,1,1,1,16,High,Personal/Lifestyle
L1232,43,Female,Project Manager,105000,25000,Education,765,1,Sponsoring my child's advanced music conservatory tuition.,1,Positive,0.5237185955047607,1,105000,0.238095238095238,0,0,1,1,1,6,Medium,Personal/Lifestyle
L1233,51,Male,Mechanic,66000,12000,Business,690,2,Need to purchase an industrial tire mounting machine.,1,Neutral,0.591600775718689,1,66000,0.1818181818181818,1,2,0,1,1,11,High,Basic Needs/Survival
L1234,26,Female,Barista,31000,4500,Personal,575,0,I have a very low credit rating and need this small loan to prove I can manage payments. I'm desperate for a fresh start.,0,Negative,0.0721195638179779,0,31000,0.1451612903225806,2,3,0,0,2,13,High,Personal/Lifestyle
L1235,47,Male,Firefighter,88000,20000,Home,725,2,Financing backyard deck reconstruction after storm damage.,1,Neutral,0.5675674080848694,1,88000,0.2272727272727272,1,1,1,1,0,9,Medium,Basic Needs/Survival
L1236,32,Female,Social Worker,54000,13000,Education,672,1,Funding specialized training in child protective services best practices.,1,Neutral,0.5250528454780579,1,54000,0.2407407407407407,1,2,1,1,1,13,High,Basic Needs/Survival
L1237,61,Male,Consultant,130000,20000,Personal,795,1,Investment in a diversified bond portfolio.,1,Neutral,0.4841567873954773,1,130000,0.1538461538461538,1,0,0,1,2,6,Medium,Business/Investment
L1238,37,Female,Chef,63000,15000,Business,710,2,Need funds to purchase commercial refrigeration units for expanded capacity.,1,Neutral,0.578887403011322,1,63000,0.238095238095238,1,1,1,1,1,10,Medium,Business/Investment
L1239,50,Male,Accountant,96000,23000,Home,760,2,Refinancing a portion of the mortgage to fund a large addition.,1,Neutral,0.5133780241012573,1,96000,0.2395833333333333,1,0,1,1,0,6,Medium,Business/Investment
L1240,25,Female,Receptionist,36000,6500,Personal,610,1,Helping my sibling cover emergency car repairs so they can keep their job.,0,Positive,0.5075396299362183,1,36000,0.1805555555555555,0,3,0,1,2,14,High,Personal/Lifestyle
L1241,55,Male,Engineer,155000,50000,Education,825,1,Sponsoring my grandchild's entire undergraduate medical degree.,1,Very Positive,0.57375168800354,1,155000,0.3225806451612903,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1242,30,Female,Sales Clerk,40000,8500,Medical,608,0,"My chronic medication costs have spiked, and I can't afford this month's supply. I am truly suffering.",0,Very Negative,0.9256336092948914,2,40000,0.2125,1,3,1,0,1,17,High,Personal/Lifestyle
L1243,41,Male,Pilot,150000,35000,Business,812,1,Acquisition of specialized air traffic control simulation software.,1,Neutral,0.5116548538208008,1,150000,0.2333333333333333,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1244,68,Female,Retired,56000,5000,Personal,762,2,Covering costs associated with organizing a large family reunion.,1,Neutral,0.6702157855033875,2,56000,0.0892857142857142,1,0,0,1,2,8,Medium,Basic Needs/Survival
L1245,22,Male,Tutor,30000,3500,Education,570,1,Purchasing new professional presentation materials for tutoring clients.,0,Neutral,0.5242738723754883,1,30000,0.1166666666666666,1,3,0,1,1,14,High,Personal/Lifestyle
L1246,38,Female,Lawyer,130000,32000,Home,798,1,Finalizing closing costs on a high-value commercial property purchase.,1,Neutral,0.6249702572822571,1,130000,0.2461538461538461,1,0,1,1,0,6,Medium,Business/Investment
L1247,45,Male,Driver,45000,10000,Personal,575,3,Need funds to cover an eviction notice fee; I made a huge mistake budgeting last month. I'm completely panicked.,0,Very Negative,0.6654267311096191,2,45000,0.2222222222222222,1,3,1,2,2,20,High,Basic Needs/Survival
L1248,52,Female,Doctor,205000,62000,Medical,842,1,Funding advanced robotic surgical equipment purchase for the hospital wing.,1,Neutral,0.5033776164054871,1,205000,0.3024390243902439,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1249,26,Male,Retail Manager,49000,13000,Business,662,2,Initial marketing and staffing costs for a new venture that hasn't launched yet.,0,Neutral,0.5663995146751404,1,49000,0.2653061224489796,1,2,1,1,1,13,High,Business/Investment
L1250,60,Female,Accountant,100000,20000,Education,752,1,Paying off the last of my MBA loan debt.,1,Neutral,0.5455163717269897,1,100000,0.2,1,0,0,1,1,5,Low,Business/Investment
L1251,33,Male,Electrician,76000,17000,Home,695,2,"Financing a new, energy-efficient water heater system for the house.",1,Positive,0.491950511932373,1,76000,0.2236842105263158,0,2,1,1,0,11,High,Personal/Lifestyle
L1252,48,Female,Scientist,150000,38000,Business,815,1,Funding travel expenses for international collaborative research meetings.,1,Neutral,0.5312115550041199,1,150000,0.2533333333333333,1,0,1,1,1,7,Medium,Business/Investment
L1253,21,Male,Dishwasher,21000,3000,Personal,508,0,I have severe gambling debts I need to clear immediately before the lenders escalate matters. I feel trapped.,0,Negative,0.6743132472038269,2,21000,0.1428571428571428,2,3,0,0,2,17,High,Basic Needs/Survival
L1254,54,Female,Teacher,72000,15000,Medical,730,1,Covering costs for a specialized preventative health screening for my spouse.,1,Neutral,0.5273237228393555,1,72000,0.2083333333333333,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1255,36,Male,Software Developer,125000,30000,Personal,795,1,Need liquidity for a short-term investment opportunity with high projected returns.,1,Neutral,0.4918466210365295,1,125000,0.24,1,0,1,1,2,8,Medium,Business/Investment
L1256,44,Female,Manager,108000,25000,Home,768,1,Financing a major smart-home technology integration project.,1,Neutral,0.5259119272232056,1,108000,0.2314814814814814,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1257,29,Male,Bartender,36000,7500,Education,602,0,"I need this for a mandatory safety deposit for an apartment, but my current income barely covers food. This is too much.",0,Negative,0.909005641937256,2,36000,0.2083333333333333,2,3,1,0,1,18,High,Personal/Lifestyle
L1258,62,Female,Retired,70000,10000,Personal,778,1,Funding a subscription to a premium financial news service for better investment choices.,1,Neutral,0.4499160647392273,1,70000,0.1428571428571428,1,0,0,1,2,6,Medium,Business/Investment
L1259,35,Male,Sales Manager,90000,21000,Business,720,1,Need to hire a short-term sales consultant to optimize quarterly strategy.,1,Neutral,0.5272631645202637,1,90000,0.2333333333333333,1,1,1,1,1,10,Medium,Business/Investment
L1260,24,Female,Clerk,30000,5000,Medical,588,0,I had an accident and can't work for two weeks; need this to cover my lost wages and urgent care bill.,0,Negative,0.7631326913833618,2,30000,0.1666666666666666,2,3,0,0,1,16,High,Personal/Lifestyle
L1261,49,Male,Engineer,138000,42000,Home,810,1,Securing financing for a large-scale landscaping and outdoor living area build.,1,Neutral,0.5350180864334106,1,138000,0.3043478260869565,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1262,57,Female,HR Director,120000,28000,Education,790,1,Sponsoring travel and accommodation for a national HR conference.,1,Neutral,0.4645368158817291,1,120000,0.2333333333333333,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1263,32,Male,Truck Driver,68000,15000,Personal,658,3,Need to cover increased maintenance costs on my rig due to unexpected road wear.,0,Negative,0.5881772637367249,1,68000,0.2205882352941176,2,2,1,2,2,16,High,Personal/Lifestyle
L1264,46,Female,Nurse,83000,18000,Medical,732,1,Funding necessary dental surgery that was postponed due to financial constraints.,1,Neutral,0.5456187129020691,1,83000,0.216867469879518,1,1,1,1,1,10,Medium,Basic Needs/Survival
L1265,20,Male,Security Guard,25000,3000,Education,525,0,"I need this money for tuition fees before the deadline; if I fail this semester, I lose my scholarship eligibility entirely. I'm desperate.",0,Very Negative,0.5955051183700562,1,25000,0.12,1,3,0,0,1,13,High,Personal/Lifestyle
L1266,64,Female,Professor,112000,13000,Business,780,1,Small grant funding to support an undergraduate research mentorship program.,1,Neutral,0.4611216783523559,1,112000,0.1160714285714285,1,0,0,1,1,5,Low,Business/Investment
L1267,39,Male,Mechanic,62000,15000,Home,680,3,Emergency furnace replacement required as the old one completely failed in cold weather.,0,Neutral,0.5785794854164124,1,62000,0.2419354838709677,1,2,1,2,0,13,High,Basic Needs/Survival
L1268,47,Female,Accountant,98000,24000,Education,765,1,Financing continuing education in forensic accounting.,1,Neutral,0.4884618520736694,1,98000,0.2448979591836734,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1269,27,Male,Warehouse Associate,39000,8500,Personal,595,2,Need to pay off several small collection agency debts before they affect my credit further. I'm trying to clean up my past.,0,Negative,0.6309792995452881,1,39000,0.2179487179487179,2,3,1,1,2,18,High,Personal/Lifestyle
L1270,51,Female,Executive,180000,45000,Home,835,1,"Securing financing for a high-value, long-term real estate portfolio expansion.",1,Neutral,0.5851104259490967,1,180000,0.25,1,0,1,1,0,6,Medium,Business/Investment
L1271,34,Male,Data Entry Clerk,43000,7000,Education,625,1,Paying for an online certification in data visualization tools.,0,Neutral,0.4290259778499603,1,43000,0.1627906976744186,1,3,0,1,1,14,High,Personal/Lifestyle
L1272,59,Female,Manager,115000,25000,Business,772,1,Acquiring a major software patent license relevant to my industry.,1,Neutral,0.5140299797058105,1,115000,0.217391304347826,1,0,1,1,1,7,Medium,Business/Investment
L1273,23,Male,Waiter,28000,5000,Personal,565,1,"Need funds to pay for rental car while mine is in the shop, ensuring I don't lose my waitering job.",0,Negative,0.6049749255180359,1,28000,0.1785714285714285,2,3,0,1,2,16,High,Personal/Lifestyle
L1274,42,Female,Librarian,57000,11000,Medical,710,2,Covering costs for specialized chiropractic care for chronic back pain.,1,Neutral,0.5318002700805664,1,57000,0.1929824561403508,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1275,46,Male,Sales Director,112000,30000,Home,795,1,Funding the installation of a high-efficiency heat pump system.,1,Neutral,0.5189101099967957,1,112000,0.2678571428571428,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1276,31,Female,Nurse,71000,13000,Education,735,1,Paying for a specialized course in neonatal intensive care.,1,Neutral,0.5255854725837708,1,71000,0.1830985915492957,1,1,0,1,1,8,Medium,Basic Needs/Survival
L1277,53,Male,Scientist,160000,40000,Business,818,1,Purchasing advanced molecular modeling software.,1,Neutral,0.441395103931427,1,160000,0.25,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1278,28,Female,Graphic Designer,62000,12000,Personal,685,2,Need to cover attorney fees related to a minor contract dispute.,1,Neutral,0.5556550621986389,1,62000,0.1935483870967742,1,2,0,1,2,12,High,Basic Needs/Survival
L1279,66,Male,Retired,74000,7000,Medical,805,1,Covering expenses related to private home health aide services.,1,Neutral,0.4929124414920807,1,74000,0.0945945945945946,1,0,0,1,1,5,Low,Personal/Lifestyle
L1280,37,Female,Teacher,66000,16000,Education,722,1,Funding a year-long mentorship program for new teachers.,1,Neutral,0.4796549677848816,1,66000,0.2424242424242424,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1281,40,Male,Accountant,93000,21000,Home,750,2,Need funds for emergency foundation repair identified during a recent inspection.,0,Neutral,0.5708311796188354,1,93000,0.2258064516129032,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1282,22,Female,Receptionist,33000,4000,Personal,578,0,I am facing eviction because my paycheck was delayed; I need this money by end of day. I'm panicking.,0,Very Negative,0.589126467704773,1,33000,0.1212121212121212,1,3,0,0,2,14,High,Basic Needs/Survival
L1283,50,Male,Engineer,135000,38000,Business,805,1,Acquisition of key intellectual property related to our current engineering focus.,1,Neutral,0.5122385621070862,1,135000,0.2814814814814815,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1284,45,Female,HR Manager,100000,18000,Education,760,1,Sponsoring team members for specialized leadership training seminars.,1,Neutral,0.4797835350036621,1,100000,0.18,1,0,0,1,1,5,Low,Personal/Lifestyle
L1285,33,Male,Construction Worker,54000,14000,Personal,630,3,Need funds to replace specialized power tools that were stolen from my worksite.,0,Neutral,0.6652161478996277,2,54000,0.2592592592592592,1,3,1,2,2,20,High,Basic Needs/Survival
L1286,58,Female,Administrator,84000,16000,Medical,745,2,Covering costs for specialized nutritional counseling for a health condition.,1,Neutral,0.5073415040969849,1,84000,0.1904761904761904,1,1,0,1,1,8,Medium,Basic Needs/Survival
L1287,25,Male,Electrician Apprentice,39000,10000,Business,622,0,I invested my savings into a partnership that failed; now I need this loan to cover immediate living expenses. I feel like an idiot.,0,Negative,0.5889460444450378,1,39000,0.2564102564102564,2,3,1,0,1,16,High,Business/Investment
L1288,48,Female,Doctor,220000,65000,Home,850,1,Financing the installation of a professional-grade security and surveillance system.,1,Neutral,0.5106432437896729,1,220000,0.2954545454545454,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1289,30,Male,Software Engineer,118000,29000,Education,780,1,Aggressively paying down remaining student debt to improve net worth.,1,Negative,0.5589583516120911,1,118000,0.2457627118644068,2,0,1,1,1,8,Medium,Personal/Lifestyle
L1290,61,Female,Retired,52000,5000,Personal,755,2,Funding a small home improvement project I've been putting off.,1,Positive,0.4424790740013122,1,52000,0.0961538461538461,0,0,0,1,2,5,Low,Personal/Lifestyle
L1291,21,Male,Security Guard,27000,4500,Personal,535,0,I owe a significant amount to a high-interest lender and need this to avoid default. I feel completely hopeless.,0,Very Negative,0.7821996808052063,2,27000,0.1666666666666666,1,3,0,0,2,16,High,Personal/Lifestyle
L1292,44,Female,Teacher,74000,15000,Medical,735,1,Covering costs for my child's specialized after-school tutoring to keep up academically.,1,Neutral,0.5086632966995239,1,74000,0.2027027027027027,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1293,38,Male,Truck Driver,78000,19000,Home,660,3,Need funds for an emergency replacement of a failing water pump system at my residence.,0,Neutral,0.6008918285369873,1,78000,0.2435897435897435,1,2,1,2,0,13,High,Basic Needs/Survival
L1294,52,Female,Financial Analyst,150000,35000,Business,812,1,Investment in advanced quantitative modeling software.,1,Neutral,0.475967139005661,1,150000,0.2333333333333333,1,0,1,1,1,7,Medium,Business/Investment
L1295,28,Male,Photographer,44000,9500,Education,645,1,"Purchasing a second, backup professional camera body essential for large events.",0,Neutral,0.5517222285270691,1,44000,0.2159090909090909,1,3,1,1,1,16,High,Basic Needs/Survival
L1296,55,Female,Manager,108000,22000,Personal,785,1,Funding a sabbatical exploration of new market opportunities.,1,Neutral,0.5519347190856934,1,108000,0.2037037037037037,1,0,1,1,2,8,Medium,Business/Investment
L1297,32,Male,Carpenter,59000,13000,Home,680,2,"Replacing old, failing garage door mechanisms with automated systems.",1,Neutral,0.5462121963500977,1,59000,0.2203389830508474,1,2,1,1,0,12,High,Basic Needs/Survival
L1298,49,Female,Nurse,92000,21000,Medical,752,1,Financing advanced certification in holistic pain management.,1,Neutral,0.4047160744667053,1,92000,0.2282608695652173,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1299,24,Male,Fast Food Worker,24000,3000,Personal,535,0,"I need this cash today to pay my landlord; I'm short, and they are threatening eviction proceedings. Please help me out.",0,Negative,0.611219584941864,1,24000,0.125,2,3,0,0,2,15,High,Basic Needs/Survival
L1300,60,Female,Librarian,64000,9000,Education,740,1,Funding book purchases for a new literacy program at the local community center.,1,Neutral,0.474496990442276,1,64000,0.140625,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1301,36,Male,Sales Representative,82000,18000,Business,710,1,Need capital to secure a large volume purchase discount from a key supplier.,1,Neutral,0.5413529276847839,1,82000,0.2195121951219512,1,1,1,1,1,10,Medium,Business/Investment
L1302,41,Female,Accountant,96000,23000,Home,762,2,Financing the exterior repainting and siding repair of the home.,1,Neutral,0.4842356145381927,1,96000,0.2395833333333333,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1303,29,Male,Bartender,37000,7500,Personal,595,0,I am in debt to a loan shark and need to pay them off immediately before things get dangerous. I'm terrified.,0,Very Negative,0.7143795490264893,2,37000,0.2027027027027027,1,3,1,0,2,18,High,Personal/Lifestyle
L1304,53,Female,Professor,120000,32000,Education,808,1,Funding an endowed scholarship in my department.,1,Positive,0.4947580099105835,1,120000,0.2666666666666666,0,0,1,1,1,6,Medium,Basic Needs/Survival
L1305,47,Male,Pilot,175000,48000,Business,825,1,Acquisition of advanced aerial mapping technology.,1,Neutral,0.5216370224952698,1,175000,0.2742857142857143,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1306,35,Female,Software Developer,112000,26000,Personal,775,1,Need short-term funds while waiting for the sale of a significant investment asset to finalize.,1,Neutral,0.5412296652793884,1,112000,0.2321428571428571,1,0,1,1,2,8,Medium,Business/Investment
L1307,23,Male,Delivery Driver,32000,6000,Medical,590,1,Covering the cost of an urgent specialist appointment for a recurring issue that is worsening.,0,Neutral,0.8279443979263306,2,32000,0.1875,1,3,0,1,1,16,High,Personal/Lifestyle
L1308,56,Female,Doctor,215000,68000,Home,848,1,Financing the installation of a geothermal HVAC system on the primary residence.,1,Neutral,0.4750180542469024,1,215000,0.3162790697674418,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1309,30,Male,Graphic Designer,62000,14000,Business,690,2,Need to hire a contract animator for a large client project that is due soon.,1,Negative,0.5536568760871887,1,62000,0.2258064516129032,2,2,1,1,1,14,High,Business/Investment
L1310,62,Female,Retired,59000,6000,Medical,770,2,Covering an unexpected high co-pay for a complex prescription medication regimen.,1,Neutral,0.8076508641242981,2,59000,0.1016949152542373,1,0,0,1,1,7,Medium,Personal/Lifestyle
L1311,38,Male,Accountant,91000,19000,Education,745,1,Paying for the materials and travel required for a major tax audit defense seminar.,1,Neutral,0.5324488282203674,1,91000,0.2087912087912088,1,1,1,1,1,10,Medium,Business/Investment
L1312,26,Female,Retail Associate,38000,8500,Personal,615,0,"I have multiple small debts, and the interest is crushing me. I need consolidation badly, or I will default on everything.",0,Very Negative,0.872851550579071,2,38000,0.2236842105263158,1,3,1,0,2,18,High,Personal/Lifestyle
L1313,49,Male,Engineer,142000,40000,Business,815,1,Investment in automated testing rigs for product development.,1,Neutral,0.5085267424583435,1,142000,0.2816901408450704,1,0,1,1,1,7,Medium,Business/Investment
L1314,54,Female,Manager,112000,24000,Home,785,1,Financing the replacement of the entire roof structure due to age and weather damage.,1,Neutral,0.5787855982780457,1,112000,0.2142857142857142,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1315,31,Male,Plumber,67000,12000,Personal,675,2,Need funds to cover the cost of hiring temporary help while I recover from a minor injury.,0,Neutral,0.5573716759681702,1,67000,0.1791044776119403,1,2,0,1,2,12,High,Basic Needs/Survival
L1316,42,Female,Teacher,69000,13000,Education,725,1,Funding specialized curriculum development software for next semester.,1,Neutral,0.4991954267024994,1,69000,0.1884057971014492,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1317,25,Male,Cashier,29000,5500,Medical,572,0,"I have an urgent dental emergency, and I simply don't have the money. I am in terrible pain and need immediate relief.",0,Very Negative,0.6788572072982788,2,29000,0.1896551724137931,1,3,0,0,1,15,High,Basic Needs/Survival
L1318,57,Female,Scientist,170000,42000,Business,828,1,Acquisition of a specialized DNA sequencer unit.,1,Neutral,0.5118758082389832,1,170000,0.2470588235294117,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1319,33,Male,Truck Driver,72000,17000,Personal,652,3,Need capital to replace worn-out safety equipment required by DOT regulations.,0,Neutral,0.5943004488945007,1,72000,0.2361111111111111,1,2,1,2,2,15,High,Basic Needs/Survival
L1320,46,Female,HR Specialist,87000,20000,Home,740,1,"Financing the installation of a new, high-efficiency furnace system.",1,Neutral,0.521144688129425,1,87000,0.2298850574712643,1,1,1,1,0,9,Medium,Personal/Lifestyle
L1321,20,Male,Student,20000,2500,Education,525,0,"I need this to pay for my final exam fee, or I cannot graduate. My parents can't help me this time.",0,Negative,0.53529292345047,1,20000,0.125,2,3,0,0,1,14,High,Personal/Lifestyle
L1322,50,Female,Doctor,195000,50000,Medical,840,1,Funding the purchase of cutting-edge cosmetic treatment lasers for the practice.,1,Neutral,0.4720883667469024,1,195000,0.2564102564102564,1,0,1,1,1,7,Medium,Business/Investment
L1323,39,Male,Real Estate Agent,94000,23000,Business,722,1,Capital injection for aggressive marketing across multiple high-value geographic areas.,1,Neutral,0.7151632308959961,2,94000,0.2446808510638297,1,1,1,1,1,12,High,Business/Investment
L1324,64,Female,Retired,66000,9000,Personal,780,1,Covering costs for an essential appliance replacement (water heater).,1,Neutral,0.4878189861774444,1,66000,0.1363636363636363,1,0,0,1,2,6,Medium,Basic Needs/Survival
L1325,28,Male,Warehouse Worker,39000,8500,Education,605,1,Paying for a specialized supply chain management certification.,0,Neutral,0.4860982596874237,1,39000,0.2179487179487179,1,3,1,1,1,16,High,Basic Needs/Survival
L1326,43,Female,Project Manager,108000,26000,Education,770,1,Sponsoring advanced project management certifications for my core team.,1,Positive,0.482208639383316,1,108000,0.2407407407407407,0,0,1,1,1,6,Medium,Business/Investment
L1327,51,Male,Mechanic,68000,13000,Business,695,2,Need funds to purchase a computerized engine balancing machine.,1,Neutral,0.6177691221237183,1,68000,0.1911764705882352,1,2,0,1,1,11,High,Basic Needs/Survival
L1328,26,Female,Barista,32000,5000,Personal,580,0,My car was impounded over a technicality; I need this money immediately to retrieve it or I lose my job.,0,Negative,0.695780873298645,2,32000,0.15625,2,3,0,0,2,17,High,Basic Needs/Survival
L1329,47,Male,Firefighter,90000,21000,Home,730,2,"Financing the replacement of old, inefficient exterior doors and windows.",1,Neutral,0.5896968841552734,1,90000,0.2333333333333333,1,1,1,1,0,9,Medium,Basic Needs/Survival
L1330,32,Female,Social Worker,56000,14000,Education,678,1,Funding specialized certification in crisis intervention techniques.,1,Neutral,0.4954500794410705,1,56000,0.25,1,2,1,1,1,13,High,Basic Needs/Survival
L1331,61,Male,Consultant,135000,22000,Personal,798,1,"Investment in a time-sensitive, high-yield certificate of deposit.",1,Neutral,0.7375271916389465,2,135000,0.1629629629629629,1,0,0,1,2,8,Medium,Business/Investment
L1332,37,Female,Chef,65000,16000,Business,715,2,Need funds for professional catering tents and outdoor setup gear for large events.,1,Neutral,0.5997666120529175,1,65000,0.2461538461538461,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1333,50,Male,Accountant,98000,24000,Home,765,2,Refinancing existing debt into a more favorable long-term home equity loan structure.,1,Neutral,0.4129807353019714,1,98000,0.2448979591836734,1,0,1,1,0,6,Medium,Business/Investment
L1334,25,Female,Receptionist,37000,7000,Personal,615,1,Helping cover unexpected funeral expenses for a distant relative. It was sudden.,0,Neutral,0.5867029428482056,1,37000,0.1891891891891892,1,3,0,1,2,15,High,Personal/Lifestyle
L1335,55,Male,Engineer,160000,52000,Education,830,1,Sponsoring my child's entire first year of private university tuition.,1,Neutral,0.5601516962051392,1,160000,0.325,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1336,30,Female,Sales Clerk,41000,9000,Medical,612,0,I need this money right now to pay for prescription refills that I have been skipping. I can't function without them.,0,Negative,0.5920916795730591,1,41000,0.2195121951219512,2,3,1,0,1,16,High,Personal/Lifestyle
L1337,41,Male,Pilot,155000,38000,Business,815,1,Acquisition of advanced flight simulation data packages.,1,Neutral,0.4727278649806976,1,155000,0.2451612903225806,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1338,68,Female,Retired,58000,5500,Personal,768,1,Covering necessary upgrades to my home security system.,1,Neutral,0.5176957845687866,1,58000,0.0948275862068965,1,0,0,1,2,6,Medium,Personal/Lifestyle
